# Call Trace and Most Frequently Executed Routines Generated By Pin
Total Executions: 0x98b
Most Frequently Executed Routines:
.plt.sec: 0x1d0 times
_ZdlPv@plt: 0x109 times
_ZNSi10_M_extractIfEERSiRT_@plt: 0x56 times
_Znwm@plt: 0x3d times
_ZNSt6vectorIfSaIfEEaSERKS1_: 0x34 times
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_appendEPKcm@plt: 0x28 times
_ZN9FlexImageIhLi1EED1Ev: 0x25 times
memcpy@plt: 0x25 times
_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E@plt: 0x24 times
_ZSt19__throw_logic_errorPKc@plt: 0x21 times
exp@plt: 0x1b times
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt: 0x1a times
memmove@plt: 0x17 times
_ZN9FlexImageIhLi1EEC1ERKS0_: 0x16 times
_ZNSt8ios_baseC2Ev@plt: 0x14 times
mempcpy: 0x14 times
strlen: 0x14 times
_Unwind_GetTextRelBase: 0x12 times
strcmp: 0x12 times
memmove: 0x12 times
_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt: 0x10 times
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_assignERKS4_@plt: 0xf times
fwrite@plt: 0xf times
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPcEEvT_S7_St20forward_iterator_tag.isra.153: 0xf times
_ZNSt6vectorIfSaIfEE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPfS1_EEmRKf: 0xe times
_ZNSt6localeD1Ev@plt: 0xe times
_ZNSt8ios_baseD2Ev@plt: 0xe times
__tunable_get_val: 0xe times
_ZN9FlexImageIhLi1EEC2Ev: 0xd times
_Z13EulerRotationIfEvR7DMatrixIT_Efff7DMOrder.constprop.50: 0xd times
_ZNSolsEi@plt: 0xc times
_Z7InverseIfE7DMatrixIT_ERKS2_: 0xc times
__cxa_get_globals: 0xc times
__lll_lock_wait_private: 0xb times
free@plt: 0xb times
unlink_chunk.isra.2: 0xb times
_ZN15RandomGenerator4RandEv: 0xb times
_ZN7threads11WorkerGroup7SendCmdEt: 0xa times
_ZN15RandomGenerator7RandExpEv: 0xa times
_ZNSt8ios_base4InitC1Ev@plt: 0xa times
_Unwind_Backtrace: 0xa times
_ZNSt6localeC1Ev@plt: 0x9 times
_ZN7threads7Barrier4WaitEv: 0x9 times
_ZNSo3putEc@plt: 0x9 times
__lll_unlock_wake_private: 0x9 times
_ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6_M_padEclRSt8ios_basePcPKcRi: 0x9 times
fread@plt: 0x9 times
_ZN7threads5Mutex4LockEv: 0x8 times
_ZN17ImageMeasurements11InsideErrorERK17ProjectedCylinderRK11BinaryImageRiS6_: 0x8 times
_ZN17ImageMeasurements9EdgeErrorERK17ProjectedCylinderRK9FlexImageIhLi1EERfRi: 0x8 times
_ZNSo9_M_insertImEERSoT_@plt: 0x8 times
__mpn_lshift: 0x8 times
_ZN17ProjectedCylinder15ImageProjectionERK10KTCylinderR6Camera: 0x7 times
_ZNSo5flushEv@plt: 0x7 times
hack_digit: 0x7 times
_dl_lookup_symbol_x: 0x7 times
memset@plt: 0x7 times
pthread_mutex_lock@plt: 0x7 times
check_match: 0x7 times
strlen@plt: 0x7 times
_ZN7threads5Mutex6UnlockEv: 0x7 times
_ZN9FlexImageIhLi1EE10ReallocateE6FISize: 0x6 times
__mpn_mul: 0x6 times
_dl_hwcaps_split_masked: 0x6 times
_ZN9FlexImageIhLi3EE8SetPixelEiiPh: 0x6 times
_int_malloc: 0x6 times
mmap64: 0x6 times
_ZN7threads5MutexC1Ev: 0x6 times
_ZNKSt7__cxx119money_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6do_putES4_bRSt8ios_basecRKNS_12basic_stringIcS3_SaIcEEE: 0x6 times
_dl_cache_libcmp: 0x6 times
_Z3numIiEbNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERT_: 0x6 times
dfs_traversal: 0x6 times
_ZN7threads11WorkerGroup11RegisterCmdEiRNS_10ThreadableE: 0x5 times
_ZN7threads5MutexD2Ev: 0x5 times
_ZNKSt7collateIcE10do_compareEPKcS2_S2_S2_: 0x5 times
malloc_printerr: 0x5 times
strchr: 0x5 times
__pthread_disable_asynccancel: 0x5 times
__GI___close_nocancel: 0x5 times
call_init.part.0: 0x5 times
_ZNSt9basic_iosIcSt11char_traitsIcEE5clearESt12_Ios_Iostate@plt: 0x5 times
_Z8FlexLineIhLi3EEvR9FlexImageIT_XT0_EEiiiiPS1_: 0x5 times
__munmap: 0x5 times
_dl_setup_hash: 0x5 times
_ZNSt13basic_filebufIcSt11char_traitsIcEEC1Ev@plt: 0x5 times
_ZNSt13basic_filebufIcSt11char_traitsIcEE5closeEv@plt: 0x5 times
_ZNSt13basic_filebufIcSt11char_traitsIcEE4openEPKcSt13_Ios_Openmode@plt: 0x5 times
_ZNSt12__basic_fileIcED1Ev@plt: 0x5 times
__mpn_rshift: 0x4 times
_ZN9FlexImageIhLi1EE3SetEPh: 0x4 times
__mpn_mul_1: 0x4 times
_dl_relocate_object: 0x4 times
__libc_enable_asynccancel: 0x4 times
__pthread_enable_asynccancel: 0x4 times
malloc_consolidate: 0x4 times
__read_nocancel: 0x4 times
_ZN9FlexImageIhLi3EED1Ev: 0x4 times
lookup_malloc_symbol: 0x4 times
_dl_name_match_p: 0x4 times
brk: 0x4 times
log@plt: 0x4 times
_ZNKSt12__basic_fileIcE7is_openEv@plt: 0x4 times
do_lookup_x: 0x4 times
fclose@plt: 0x4 times
round_and_return: 0x4 times
_dl_audit_activity_nsid: 0x4 times
_dl_dst_count: 0x4 times
_ZN15RandomGenerator5RandNEv: 0x4 times
_dl_add_to_namespace_list: 0x4 times
_dl_debug_state: 0x4 times
_ZN7threads7BarrierC1Ei: 0x4 times
_ZN7threads7BarrierD1Ev: 0x4 times
.text: 0x4 times
